level_0,Date,Close,High,Low,Open,Volume,Month,Year,Daily Price Change,Percentage Price Change,MA7,MA30,Daily Return,Monthly Return,Volatility,High Low Difference
16,2022-06-30,134.0294647216797,135.64698810352084,131.1375212724895,134.5490335635321,98964500,June,2022,-0.5195688418524185,-0.38615575905053645,135.89068603515625,,-1.8027918343345384,-1.8027918343345384,,4.509466831031347
17,2022-07-01,136.19598388671875,136.3038197907336,132.9903451154339,133.36285690870372,71051600,July,2022,2.8331269780150308,2.124374839956005,136.39205060686385,,1.6164499123666465,,,3.3134746752996875
18,2022-07-05,138.77420043945312,138.82321946775843,134.23531066321448,135.05879144662464,73353800,July,2022,3.715408992828486,2.75095678928596,136.85279628208704,,1.893019514348393,1.893019514348393,,4.587908804543957
19,2022-07-06,140.1074676513672,141.28384979355582,138.30368070277723,138.5683715462856,74064300,July,2022,1.5390961050815974,1.1107124143170706,137.02925545828683,,0.9607457349363413,0.9607457349363413,,2.9801690907785883
20,2022-07-07,143.46995544433594,143.66601661315485,140.46036340026106,140.4701612232241,66253700,July,2022,2.9997942211118414,2.13553839120666,137.68607003348214,,2.399934742476195,2.399934742476195,,3.205653212893793
21,2022-07-08,144.14637756347656,144.64635079248632,142.1465295229667,142.40140757015126,64547800,July,2022,1.7449699933252987,1.22538816371297,139.03050667898995,,0.4714730112278298,0.4714730112278298,,2.4998212695196287
22,2022-07-11,142.0191192626953,143.75429187495894,140.9505728063945,142.80337916914598,63141600,July,2022,-0.7842599064506715,-0.5491886193545469,139.82036699567522,,-1.4757625801900431,-1.4757625801900431,,2.8037190685644475
23,2022-07-12,142.98960876464844,145.52863633565593,142.19555121961218,142.89157069008422,77588800,July,2022,0.0980380745642151,0.06861011751130419,141.1003875732422,,0.6833513029735006,0.6833513029735006,,3.3330851160437476
24,2022-07-13,142.62689208984375,143.56799177024092,139.3232005090592,140.17608985764943,71185600,July,2022,2.45080223219432,1.7483739450024183,142.0190887451172,,-0.2536664572610259,-0.2536664572610259,,4.244791261181717
25,2022-07-14,145.54824829101562,146.01879814456234,140.4309718883509,141.244640047542,78140700,July,2022,4.303608243473633,3.0469179163365543,142.98680986676897,,2.048250619758063,2.048250619758063,,5.587826256211429
26,2022-07-15,147.2147674560547,147.89119117713278,145.28353435270415,146.83244295612025,76259900,July,2022,0.38232449993444106,0.2603814880671132,144.00213841029577,,1.1449943126123685,1.1449943126123685,,2.6076568244286307
27,2022-07-18,144.17579650878906,148.58724039251226,143.81306761767442,147.77357228115997,81420900,July,2022,-3.597775772370909,-2.43465439512123,144.10297284807478,,-2.064311209928582,-2.064311209928582,,4.774172774837837
28,2022-07-19,148.0284881591797,148.25395782693252,144.0189783944477,145.0090973341563,82982400,July,2022,3.019390825023379,2.0822078618043873,144.65756007603235,,2.6722180446950183,2.6722180446950183,,4.234979432484806
29,2022-07-20,150.02828979492188,150.6949157224323,147.41083503397255,148.1460756395822,64823400,July,2022,1.8822141553396818,1.2705123286011535,145.80172729492188,,1.3509572789743851,1.3509572789743851,,3.284080688459767
30,2022-07-21,152.29286193847656,152.50853373902038,148.94996398855773,151.45958316742,65086600,July,2022,0.8332787710565697,0.5501657627932873,147.1307634626116,,1.509430085919261,1.509430085919261,,3.5585697504626523
31,2022-07-22,151.05763244628906,153.2045374479934,150.3910214648786,152.3320525114364,66675400,July,2022,-1.274420065147325,-0.8366066393358992,148.3351549421038,139.2013203938802,-0.8110882391103247,-0.8110882391103247,,2.8135159831147973
32,2022-07-25,149.9400634765625,151.9889303599999,149.28325033510924,150.97920113195147,53623900,July,2022,-1.03913765538897,-0.6882654349725917,148.96255711146765,139.53822275797526,-0.739829528391378,-0.739829528391378,2.055993637548406,2.705680024890654
33,2022-07-26,148.61663818359375,150.0773065915356,147.83237855759032,149.2636385384265,55138700,July,2022,-0.6470003548327554,-0.4334614653428747,149.16282435825892,140.0110646565755,-0.8826362096182594,-0.8826362096182594,1.9175798729645492,2.2449280339452855
34,2022-07-27,153.7044677734375,154.23384929996675,149.16559334630273,149.57732622332216,78620700,July,2022,4.12714155011534,2.7592026507770493,150.52406311035156,140.82505493164064,3.423458942435831,3.423458942435831,1.8272751910837557,5.068255953664021
35,2022-07-28,154.25350952148438,154.53779601902812,151.37136349671525,153.89078059336344,81378700,July,2022,0.36272892812093005,0.23570543129506535,151.4133518763951,141.62859090169272,0.357206108579855,0.357206108579855,1.8277265617761151,3.166432522312874
36,2022-07-29,159.31195068359375,160.40992030893383,156.36119003723385,158.06695385906744,101786900,July,2022,1.2449968245263108,0.7876389049898123,152.73958914620536,142.51349436442058,3.279303775843645,3.279303775843645,1.8758977812244184,4.048730271699981
37,2022-08-01,158.3316192626953,160.3706884793457,157.72382510643268,157.84145882480365,67829400,August,2022,0.4901604378916602,0.3105397286246033,153.6022687639509,143.54119771321615,-0.6153533471230044,,1.6829338860672018,2.6468633729130033
38,2022-08-02,156.8611297607422,159.2139087149108,156.4886180191764,156.94937000342367,59907000,August,2022,-0.08824024268147923,-0.05622210696325469,154.43133980887276,144.4708684285482,-0.9287402660320021,-0.9287402660320021,1.70796707052259,2.7252906957343725
39,2022-08-03,162.86068725585938,163.31162641377182,157.5865569548774,157.67478223031586,82507500,August,2022,5.185905025543519,3.2889882276599294,156.27714320591517,145.45968526204427,3.8247572896282334,3.8247572896282334,1.739497046620043,5.72506945889441
40,2022-08-04,162.54701232910156,163.89986001020398,161.19416464799912,162.74307352499065,55474100,August,2022,-0.19606119588908655,-0.1204728358893748,158.26719665527344,146.45503794352214,-0.19260321937916158,-0.19260321937916158,1.7358080642046005,2.705695362204864
41,2022-08-05,162.3212127685547,162.81205403488926,160.01425282506756,160.22041274781424,56697000,August,2022,2.1008000207404507,1.311193739119306,159.49816022600447,147.34744567871093,-0.13891338715578128,-0.13891338715578128,1.719577923995168,2.7978012098216993
42,2022-08-08,161.85000610351562,164.73615535552312,161.1922805564501,163.32253000929188,60276900,August,2022,-1.4725239057762565,-0.9016048831061338,160.5833740234375,148.11337076822917,-0.2902927208355277,-0.2902927208355277,1.6913264799290617,3.5438747990730235
43,2022-08-09,161.89910888671875,162.78263230320212,160.25970057725633,161.0156004495246,63135500,August,2022,0.8835084371941377,0.5487098360205793,160.95296805245536,148.8809326171875,0.03033845001632063,0.03033845001632063,1.691010518762259,2.5229317259457957
44,2022-08-10,166.13999938964844,166.23815868025727,163.84285029590276,164.60856166738782,70170500,August,2022,1.5314377222606197,0.9303511960423305,162.06845092773438,149.9277552286784,2.619465006380639,2.619465006380639,1.5971331585344384,2.3953083843545073
45,2022-08-11,165.40371704101562,167.85792369494868,165.10920924668594,166.94495103045548,57149200,August,2022,-1.54123398943986,-0.9231989227147667,163.28882053920202,150.89154256184895,-0.4431698274573903,-0.4431698274573903,1.6066905883908598,2.7487144482627457
46,2022-08-12,168.94757080078125,169.01628078921996,166.29701596444957,166.70933581222894,68039400,August,2022,2.238234988552307,1.3425972682617584,164.1583753313337,152.05547943115235,2.142547835782227,2.142547835782227,1.55935869338257,2.7192648247703914
47,2022-08-15,170.01759338378906,170.21392688656005,168.21130119143814,168.37818541775778,54091700,August,2022,1.6394079660312855,0.9736462962608858,165.22560119628906,153.18286641438803,0.6333459415462928,0.6333459415462928,1.551624090928956,2.002625695121907
48,2022-08-16,169.86053466796875,170.52808660786044,168.51563433427114,169.61511402434292,56377100,August,2022,0.2454206436258346,0.1446926737853162,166.30264718191964,154.21907755533854,-0.09237791965786002,-0.09237791965786002,1.543670588557228,2.012452273589304
49,2022-08-17,171.3527069091797,172.92339013736907,169.4089794863745,169.60531301748716,79542000,August,2022,1.747393891692525,1.0302707271395206,167.66017586844308,155.26058553059895,0.878469059412601,0.878469059412601,1.5432412957334756,3.514410650994563
50,2022-08-18,170.96002197265625,171.6962839363271,169.94889007422466,170.56735491708034,62290100,August,2022,0.3926670555759131,0.23021231452337662,168.95459202357702,156.17692108154296,-0.2291676295090972,-0.2291676295090972,1.5169035207378465,1.7473938621024274
